"Format","MoTeC CSV File",,,"Workbook","Base"
"0.0","356.53","0","100.00","0.00","5.00"
"0.0","356.53","0","100.00","0.00","4.91"
"0.0","356.53","0","100.00","0.00","4.84"
"0.0","356.53","0","100.00","0.00","4.76"
"0.0","356.53","0","100.00","0.00","4.68"
"0.0","356.53","0","100.00","0.00","4.65"
"0.0","356.53","0","100.00","0.00","4.68"
"0.0","356.53","0","100.00","0.00","4.73"
"0.0","356.53","0","100.00","0.00","4.75"
"0.0","356.53","0","100.00","0.00","4.74"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.71"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.73"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.73"
"0.0","356.53","0","100.00","0.00","4.78"
"0.0","356.53","0","100.00","0.00","4.90"
"0.0","356.53","0","100.00","0.00","5.06"
"0.0","356.53","0","100.00","0.00","5.20"
"0.0","356.53","0","100.00","0.00","5.30"
"0.0","356.53","0","100.00","0.00","5.36"
"0.0","356.53","0","100.00","0.00","5.42"
"0.0","356.53","0","100.00","0.00","5.51"
"0.0","356.53","0","100.00","0.00","5.59"
"0.0","356.53","0","100.00","0.00","5.61"
"0.0","356.53","0","100.00","0.00","5.61"
"0.0","356.53","0","100.00","0.00","5.64"
"0.0","356.53","0","100.00","0.00","5.66"
"0.0","356.53","0","100.00","0.00","5.64"
"0.0","356.53","0","100.00","0.00","5.59"
"0.0","356.53","0","100.00","0.00","5.48"
"0.0","356.53","0","100.00","0.00","5.34"
"0.0","356.53","0","100.00","0.00","5.21"
"0.0","356.53","0","100.00","0.00","5.09"
"0.0","356.53","0","100.00","0.00","5.00"
"0.0","356.53","0","100.00","0.00","4.93"
"0.0","356.53","0","100.00","0.00","4.86"
"0.0","356.53","0","100.00","0.00","4.81"
"0.0","356.53","0","100.00","0.00","4.74"
"0.0","356.53","0","100.00","0.00","4.68"
"0.0","356.53","0","100.00","0.00","4.65"
"0.0","356.53","0","100.00","0.00","4.64"
"0.0","356.53","0","100.00","0.00","4.65"
"0.0","356.53","0","100.00","0.00","4.69"
"0.0","356.53","0","100.00","0.00","4.74"
"0.0","356.53","0","100.00","0.00","4.76"
"0.0","356.53","0","100.00","0.00","4.75"
"0.0","356.53","0","100.00","0.00","4.73"
"0.0","356.53","0","100.00","0.00","4.72"
"0.0","356.53","0","100.00","0.00","4.79"
"0.0","356.53","0","100.00","0.00","4.99"
"0.0","356.53","0","100.00","0.00","5.29"
"0.0","356.53","0","100.00","0.00","5.63"
"0.0","356.53","0","100.00","0.00","5.85"
"0.0","356.53","0","100.00","0.00","5.97"
"0.0","356.53","0","100.00","0.00","6.08"
"0.0","356.53","0","100.00","0.00","6.22"
"0.0","356.53","0","100.00","0.00","6.35"
"0.0","356.53","0","100.00","0.00","6.36"
"0.0","356.53","0","100.00","0.00","6.28"
"0.0","356.53","0","100.00","0.00","6.19"
"0.0","356.53","0","100.00","0.00","6.11"
"0.0","356.53","0","100.00","0.00","6.01"
"0.0","356.53","0","100.00","0.00","5.86"
"0.0","356.53","0","100.00","0.00","5.62"
"0.0","356.53","0","100.00","0.00","5.34"
"0.0","356.53","0","100.00","0.00","5.08"
"0.0","356.53","0","100.00","0.00","4.90"
"0.0","356.53","0","100.00","0.00","4.78"
"0.0","356.53","0","100.00","0.00","4.65"
"0.0","356.53","0","100.00","0.00","4.57"
"0.0","356.53","0","100.00","0.00","4.52"
"0.0","356.53","0","100.00","0.00","4.46"
"0.0","356.53","0","100.00","0.00","4.37"
"0.0","356.53","0","100.00","0.00","4.27"
"0.0","356.53","0","100.00","0.00","4.14"
"0.0","356.53","0","100.00","0.00","3.96"
"0.0","356.53","0","100.00","0.00","3.76"
"0.0","356.53","0","100.00","0.00","3.56"
"0.0","356.53","0","100.00","0.00","3.37"
"0.0","356.53","0","100.00","0.00","3.18"
"0.0","356.53","0","100.00","0.00","3.00"
"0.0","356.53","0","100.00","0.00","2.85"
"0.0","356.53","0","100.00","0.00","2.68"
"0.0","356.53","0","100.00","0.00","2.53"
"0.0","356.53","0","100.00","0.00","2.38"
"0.0","356.53","0","100.00","0.00","2.25"
"0.0","356.53","0","100.00","0.00","2.17"
"0.0","356.53","0","100.00","0.00","2.07"
"0.0","356.53","0","100.00","0.00","1.96"
"0.0","356.53","0","100.00","0.00","1.86"
"0.0","356.53","0","100.00","0.00","1.76"
"0.0","356.53","0","100.00","0.00","1.68"
"0.0","356.53","0","100.00","0.00","1.64"
"0.0","356.53","0","100.00","0.00","1.61"
"0.0","356.53","0","100.00","0.00","1.57"
"0.0","356.53","0","100.00","0.00","1.50"
"0.0","356.53","0","100.00","0.00","1.37"
"0.0","356.53","0","100.00","0.00","1.23"
"0.0","356.53","0","100.00","0.00","1.08"
"0.0","356.53","0","100.00","0.00","0.92"
"0.0","356.53","0","100.00","0.00","0.79"
"0.0","356.53","0","100.00","0.00","0.65"
"0.0","356.53","0","100.00","0.00","0.53"
"0.0","356.53","0","100.00","0.00","0.42"
"0.0","356.53","0","100.00","0.00","0.33"
"0.0","356.53","0","100.00","0.00","0.26"
"0.0","356.53","0","100.00","0.00","0.20"
"0.0","356.53","0","100.00","0.00","0.15"
"0.0","356.53","0","100.00","0.00","0.09"
"0.0","356.53","0","100.00","0.00","0.06"
"0.0","356.53","0","100.00","0.00","0.02"
"0.0","356.53","0","100.00","0.00","-0.03"
"0.0","356.53","0","100.00","0.00","-0.08"
"0.0","356.53","0","100.00","0.00","-0.15"
"0.0","356.53","0","100.00","0.00","-0.23"
"0.0","356.53","0","100.00","0.00","-0.31"
"0.0","356.53","0","100.00","0.00","-0.37"
"0.0","356.53","0","100.00","0.00","-0.39"
"0.0","356.53","0","100.00","0.00","-0.38"
"0.0","356.53","0","100.00","0.00","-0.36"
"0.0","356.53","0","100.00","0.00","-0.31"
"0.0","356.53","0","100.00","0.00","-0.24"
"0.0","356.53","0","100.00","0.00","-0.16"
"0.0","356.53","0","100.00","0.00","-0.08"
"0.0","356.53","0","100.00","0.00","-0.01"
"0.0","356.53","0","100.00","0.00","0.05"
"0.0","356.53","0","100.00","0.00","0.07"
"0.0","356.53","0","100.00","0.00","0.08"
"0.0","356.53","0","100.00","0.00","0.08"
"0.0","356.53","0","100.00","0.00","0.09"
"0.0","356.53","0","100.00","0.00","0.11"
"0.0","356.53","0","100.00","0.00","0.13"
"0.0","356.53","0","100.00","0.00","0.14"
"0.0","356.53","0","100.00","0.00","0.14"
"0.0","356.53","0","100.00","0.00","0.14"
"0.0","356.53","0","100.00","0.00","0.14"
"0.0","356.53","0","100.00","0.00","0.15"
"0.0","356.53","0","100.00","0.00","0.17"
"0.0","356.53","0","100.00","0.00","0.20"
"0.0","356.53","0","100.00","0.00","0.20"
"0.0","356.53","0","100.00","0.00","0.18"
"0.0","356.53","0","100.00","0.00","0.18"
"0.0","356.53","0","100.00","0.00","0.18"
"0.0","356.53","0","100.00","0.00","0.19"
"0.0","356.53","0","100.00","0.00","0.19"
"0.0","356.53","0","100.00","0.00","0.20"
"0.0","356.53","0","100.00","0.00","0.20"
"0.0","356.53","0","100.00","0.00","0.20"
"0.0","356.53","0","100.00","0.00","0.20"
"0.0","356.53","0","100.00","0.00","0.20"
"0.0","356.53","0","100.00","0.00","0.20"
"0.0","356.53","0","100.00","0.00","0.20"
"0.0","356.53","0","100.00","0.00","0.21"
"0.0","356.53","0","100.00","0.00","0.21"
"0.0","356.53","0","100.00","0.00","0.22"
"0.0","356.53","0","100.00","0.00","0.22"
"0.0","356.53","0","100.00","0.00","0.22"
"0.0","356.53","0","100.00","0.00","0.22"
"0.0","356.53","0","100.00","0.00","0.22"
"0.0","356.53","0","100.00","0.00","0.22"
"0.0","356.53","0","100.00","0.00","0.22"
"0.0","356.53","0","100.00","0.00","0.22"
"0.0","356.53","0","100.00","0.00","0.22"
"0.0","356.53","0","100.00","0.00","0.22"
"0.0","356.53","0","100.00","0.00","0.23"
"0.0","356.53","0","100.00","0.00","0.23"
"0.0","356.53","0","100.00","0.00","0.23"
"0.0","356.53","0","100.00","0.00","0.23"
"0.0","356.53","0","100.00","0.00","0.23"
"0.0","356.53","0","100.00","0.00","0.23"
"0.0","356.53","0","100.00","0.00","0.23"
"0.0","356.53","0","100.00","0.00","0.23"
"0.0","356.53","0","100.00","0.00","0.23"
"0.0","356.53","0","100.00","0.00","0.24"
"0.0","356.53","0","100.00","0.00","0.25"
"0.0","356.53","0","100.00","0.00","0.24"
"0.0","356.53","0","100.00","0.00","0.24"
"0.0","356.53","0","100.00","0.00","0.24"
"0.0","356.53","0","100.00","0.00","0.24"
"0.0","356.53","0","100.00","0.00","0.25"
"0.0","356.53","0","100.00","0.00","0.25"
"0.0","356.53","0","100.00","0.00","0.25"
"0.0","356.53","0","100.00","0.00","0.25"
"0.0","356.53","0","100.00","0.00","0.26"
"0.0","356.53","0","100.00","0.00","0.26"
"0.0","356.53","0","100.00","0.00","0.27"
"0.0","356.53","0","100.00","0.00","0.28"
"0.0","356.53","0","100.00","0.00","0.28"
"0.0","356.53","0","100.00","0.00","0.28"
"0.0","356.53","0","100.00","0.00","0.28"
"0.0","356.53","0","100.00","0.00","0.28"
"0.0","356.53","0","100.00","0.00","0.28"
"0.0","356.53","0","100.00","0.00","0.28"
"0.0","356.53","0","100.00","0.00","0.28"
"0.0","356.53","0","100.00","0.00","0.28"
"0.0","356.53","0","100.00","0.00","0.29"
"0.0","356.53","0","100.00","0.00","0.30"
"0.0","356.53","0","100.00","0.00","0.30"
"0.0","356.53","0","100.00","0.00","0.30"
"0.0","356.53","0","100.00","0.00","0.30"
"0.0","356.53","0","100.00","0.00","0.30"
"0.0","356.53","0","100.00","0.00","0.30"
"0.0","356.53","0","100.00","0.00","0.30"
"0.0","356.53","0","100.00","0.00","0.30"
"0.0","356.53","0","100.00","0.00","0.30"
"0.0","356.53","0","100.00","0.00","0.30"
"0.0","356.53","0","100.00","0.00","0.30"
"0.0","356.53","0","100.00","0.00","0.30"
"0.0","356.53","0","100.00","0.00","0.30"
"0.0","356.53","0","100.00","0.00","0.30"
"0.0","356.53","0","100.00","0.00","0.31"
"0.0","356.53","0","100.00","0.00","0.32"
"0.0","356.53","0","100.00","0.00","0.31"
"0.0","356.53","0","100.00","0.00","0.31"
"0.0","356.53","0","100.00","0.00","0.31"
"0.0","356.53","0","100.00","0.00","0.31"
"0.0","356.53","0","100.00","0.00","0.31"
"0.0","356.53","0","100.00","0.00","0.31"
"0.0","356.53","0","100.00","0.00","0.31"
"0.0","356.53","0","100.00","0.00","0.31"
"0.0","356.53","0","100.00","0.00","0.31"
"0.0","356.53","0","100.00","0.00","0.32"
"0.0","356.53","0","100.00","0.00","0.33"
"0.0","356.53","0","100.00","0.00","0.33"
"0.0","356.53","0","100.00","0.00","0.33"
"0.0","356.53","0","100.00","0.00","0.34"
"0.0","356.53","0","100.00","0.00","0.34"
"0.0","356.53","0","100.00","0.00","0.35"
"0.0","356.53","0","100.00","0.00","0.35"
"0.0","356.53","0","100.00","0.00","0.35"
"0.0","356.53","0","100.00","0.00","0.35"
"0.0","356.53","0","100.00","0.00","0.35"
"0.0","356.53","0","100.00","0.00","0.35"
"0.0","356.53","0","100.00","0.00","0.35"
"0.0","356.53","0","100.00","0.00","0.35"
"0.0","356.53","0","100.00","0.00","0.35"
"0.0","356.53","0","100.00","0.00","0.35"
"0.0","356.53","0","100.00","0.00","0.36"
"0.0","356.53","0","100.00","0.00","0.36"
"0.0","356.53","0","100.00","0.00","0.36"
"0.0","356.53","0","100.00","0.00","0.36"
"0.0","356.53","0","100.00","0.00","0.36"
"0.0","356.53","0","100.00","0.00","0.36"
"0.0","356.53","0","100.00","0.00","0.36"
"0.0","356.53","0","100.00","0.00","0.36"
"0.0","356.53","0","100.00","0.00","0.36"
"0.0","356.53","0","100.00","0.00","0.37"
"0.0","356.53","0","100.00","0.00","0.37"
"0.0","356.53","0","100.00","0.00","0.37"
"0.0","356.53","0","100.00","0.00","0.37"
"0.0","356.53","0","100.00","0.00","0.37"
"0.0","356.53","0","100.00","0.00","0.37"
"0.0","356.53","0","100.00","0.00","0.37"
"0.0","356.53","0","100.00","0.00","0.38"
"0.0","356.53","0","100.00","0.00","0.38"
"0.0","356.53","0","100.00","0.00","0.39"
"0.0","356.53","0","100.00","0.00","0.39"
"0.0","356.53","0","100.00","0.00","0.39"
"0.0","356.53","0","100.00","0.00","0.39"
"0.0","356.53","0","100.00","0.00","0.39"
"0.0","356.53","0","100.00","0.00","0.39"
"0.0","356.53","0","100.00","0.00","0.39"
"0.0","356.53","0","100.00","0.00","0.40"
"0.0","356.53","0","100.00","0.00","0.40"
"0.0","356.53","0","100.00","0.00","0.40"
"0.0","356.53","0","100.00","0.00","0.40"
"0.0","356.53","0","100.00","0.00","0.40"
"0.0","356.53","0","100.00","0.00","0.40"
"0.0","356.53","0","100.00","0.00","0.40"
"0.0","356.53","0","100.00","0.00","0.40"
"0.0","356.53","0","100.00","0.00","0.40"
"0.0","356.53","0","100.00","0.00","0.40"
"0.0","356.53","0","100.00","0.00","0.40"
"0.0","356.53","0","100.00","0.00","0.41"
"0.0","356.53","0","100.00","0.00","0.41"
"0.0","356.53","0","100.00","0.00","0.41"
"0.0","356.53","0","100.00","0.00","0.42"
"0.0","356.53","0","100.00","0.00","0.42"
"0.0","356.53","0","100.00","0.00","0.42"
"0.0","356.53","0","100.00","0.00","0.42"
"0.0","356.53","0","100.00","0.00","0.42"
"0.0","356.53","0","100.00","0.00","0.42"
"0.0","356.53","0","100.00","0.00","0.42"
"0.0","356.53","0","100.00","0.00","0.42"
"0.0","356.53","0","100.00","0.00","0.42"
"0.0","356.53","0","100.00","0.00","0.42"
"0.0","356.53","0","100.00","0.00","0.42"
"0.0","356.53","0","100.00","0.00","0.42"
"0.0","356.53","0","100.00","0.00","0.42"
"0.0","356.53","0","100.00","0.00","0.43"
"0.0","356.53","0","100.00","0.00","0.43"
"0.0","356.53","0","100.00","0.00","0.44"
"0.0","356.53","0","100.00","0.00","0.44"
"0.0","356.53","0","100.00","0.00","0.44"
"0.0","356.53","0","100.00","0.00","0.44"
"0.0","356.53","0","100.00","0.00","0.44"
"0.0","356.53","0","100.00","0.00","0.45"
"0.0","356.53","0","100.00","0.00","0.44"
"0.0","356.53","0","100.00","0.00","0.44"
"0.0","356.53","0","100.00","0.00","0.43"
"0.0","356.53","0","100.00","0.00","0.37"
"0.0","356.53","0","100.00","0.00","0.26"
"0.0","356.53","0","100.00","0.00","0.13"
"0.0","356.53","0","100.00","0.00","-0.01"
"0.0","356.53","0","100.00","0.00","-0.07"
"0.0","356.53","0","100.00","0.00","-0.06"
"0.0","356.53","0","100.00","0.00","-0.02"
"0.0","356.53","0","100.00","0.00","0.02"
"0.0","356.53","0","100.00","0.00","0.04"
"0.0","356.53","0","100.00","0.00","0.04"
"0.0","356.53","0","100.00","0.00","0.03"
"0.0","356.53","0","100.00","0.00","0.01"
"0.0","356.53","0","100.00","0.00","-0.01"
"0.0","356.53","0","100.00","0.00","-0.02"
"0.0","356.53","0","100.00","0.00","-0.03"
"0.0","356.53","0","100.00","0.00","-0.03"
"0.0","356.53","0","100.00","0.00","-0.03"
"0.0","356.53","0","100.00","0.00","-0.03"
"0.0","356.53","0","100.00","0.00","-0.02"
"0.0","356.53","0","100.00","0.00","-0.01"
"0.0","356.53","0","100.00","0.00","-0.01"
"0.0","356.53","0","100.00","0.00","-0.01"
"0.0","356.53","0","100.00","0.00","0.02"
"0.0","356.53","0","100.00","0.00","0.07"
"0.0","356.53","0","100.00","0.00","0.12"
"0.0","356.53","0","100.00","0.00","0.15"
"0.0","356.53","0","100.00","0.00","0.17"
"0.0","356.53","0","100.00","0.00","0.16"
"0.0","356.53","0","100.00","0.00","0.15"
"0.0","356.53","0","100.00","0.00","0.13"
"0.0","356.53","0","100.00","0.00","0.10"
"0.0","356.53","0","100.00","0.00","0.07"
"0.0","356.53","0","100.00","0.00","0.05"
